0,,チェックをいれてクリック,チェックをいれてクリック.1,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU,CPUスコア,画面サイズ,画面種類,解像度,タッチパネル,2in1タイプ,ワイド画面,表面処理,OS,Office詳細,メモリ容量,メモリ規格,メモリスロット（空き）,ストレージ容量,HDD回転数,ドライブ有無,ドライブ規格,ビデオチップ,ビデオメモリ,重量,幅x高さx奥行,カラー,駆動時間,インターフェース,無線LAN,Wi-Fi Direct対応,NFC,LAN,SIMカード,インテル Evoプラットフォーム,ゲーミングPC,USB PD,ファンレス,BTO対応,その他,生体認証,センサー,地上デジタルチューナー,エコマーク,認定番号,発売日,登録日
26,25.0,,,ASUSW202NA W202NA-JPKYB,"¥32,780",5店舗,691位,0.00(0票),3件,インテル Celeron Dual-Core N3350(Apollo Lake)1.1GHz/2コア,1146,11.6型(インチ),,FWXGA (1366x768),,,○,ノングレア(非光沢),Windows 10 Pro 64bit,Office無し,4GB,LPDDR3 PC3-14900,,eMMC：64GB,,無し,,Intel HD Graphics 500,メインメモリと共有,1.2kg,294x22.5x200mm,ダークブルー,10.2時間,HDMIx1USB3.1 Gen1(USB3.0)x2SDスロット,IEEE802.11a/b/g/n/ac,,,,,,,,,,WebカメラBluetooth4.2日本語キーボード,,,,,,2020年 1月17日,2020年 1月15日
27,26.0,,,AcerChromebook 315 CB315-3H-A14P,"¥32,800",1店舗,782位,2.00(1票),10件,インテル Celeron N4020(Gemini Lake Refresh)1.1GHz/2コア,1589,15.6型(インチ),LEDバックライト,FWXGA (1366x768),,,○,ノングレア(非光沢),Chrome OS,Office無し,4GB,LPDDR4,0(0),eMMC：64GB,,無し,,Intel UHD Graphics 600,,1.63kg,366.35x20.3x250.5mm,ピュアシルバー,12.5時間,USB3.1 Gen1(USB3.0) Type-Ax2/Type-Cx2microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth5.0日本語キーボードテンキー,,,,,,2020年11月20日,2020年11月24日
28,27.0,,,FRONTIERFRT230P(/KD) 2in1 タブレット 着脱式キーボード搭載 Windows10 Pro,"¥32,800",1店舗,234位,4.00(1票),0件,インテル Celeron N4020(Gemini Lake Refresh)1.1GHz/2コア,1589,10.1型(インチ),IPS方式,WXGA (1280x800),○,セパレート,○,,Windows 10 Pro 64bit,Office無し,4GB,DDR3L PC3L-8500,,eMMC：64GB,,無し,,Intel UHD Graphics 600,,,,黒,6.2時間,miniHDMIx1USB3.2 Gen1 Type-Ax1/Type-Cx1microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,,,,WebカメラBluetooth4.2日本語キーボード,,加速度センサー,,,,2021年 5月10日,2021年 5月10日
29,28.0,チェックをいれてクリック,チェックをいれてクリック,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU種類,CPU種類,画面,画面,画面,画面,画面,画面,画面,OS,Office詳細,メモリ,メモリ,メモリ,ストレージ,ストレージ,ドライブ有無,ドライブ規格,グラフィック,グラフィック,サイズ･重量,サイズ･重量,カラー,駆動時間,インターフェース,ネットワーク,ネットワーク,ネットワーク,ネットワーク,ネットワーク,その他,その他,その他,その他,その他,その他,セキュリティ,セキュリティ,地上デジタルチューナー,エコマーク,エコマーク,発売日,登録日
30,29.0,チェックをいれてクリック,チェックをいれてクリック,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU,CPUスコア,画面サイズ,画面種類,解像度,タッチパネル,2in1タイプ,ワイド画面,表面処理,OS,Office詳細,メモリ容量,メモリ規格,メモリスロット（空き）,ストレージ容量,HDD回転数,ドライブ有無,ドライブ規格,ビデオチップ,ビデオメモリ,重量,幅x高さx奥行,カラー,駆動時間,インターフェース,無線LAN,Wi-Fi Direct対応,NFC,LAN,SIMカード,インテル Evoプラットフォーム,ゲーミングPC,USB PD,ファンレス,BTO対応,その他,生体認証,センサー,地上デジタルチューナー,エコマーク,認定番号,発売日,登録日
31,30.0,,,iiyamaSOLUTION-15FH043-C-UCES Celeron N4100/4GBメモリ/240GB SSD/15インチ,"¥32,980",1店舗,322位,3.00(1票),0件,インテル Celeron N4100(Gemini Lake)1.1GHz/4コア,2459,15.6型(インチ),カラー液晶,フルHD (1920x1080),,,○,ノングレア(非光沢),Windows 10 Home 64bit,Office無し,4GB,DDR4 PC4-19200,2(1),SSD：240GB,,無し,,Intel UHD Graphics 600,,2.01kg,361x32x256mm,ブラック系,5.7時間,HDMIx1VGAx1USB3.1 Gen1(USB3.0) Type-Ax1/Type-Cx1SDスロット,IEEE802.11a/b/g/n/ac,,,10/100/1000Mbps,,,,,,○,WebカメラBluetooth5.0日本語キーボードテンキー,,,,,,2020年10月15日,2020年10月15日
32,31.0,,,iiyamaSOLUTION-15FH043-C-UCSS Celeron N4120/4GBメモリ/240GB SSD/15インチ,"¥33,980",1店舗,521位,3.00(1票),0件,インテル Celeron N4120(Gemini Lake Refresh)1.1GHz/4コア,2481,15.6型(インチ),カラー液晶,フルHD (1920x1080),,,○,ノングレア(非光沢),Windows 10 Home 64bit,Office無し,4GB,DDR4 PC4-19200,2(1),SSD：240GB,,無し,,Intel UHD Graphics 600,,1.98kg,360.5x31.9x256mm,ブラック系,5時間,HDMIx1VGAx1USB3.1 Gen1(USB3.0) Type-Ax1/Type-Cx1SDスロット,IEEE802.11a/b/g/n/ac,,,10/100/1000Mbps,,,,,,○,WebカメラBluetooth5.0日本語キーボードテンキー,,,,,,2021年 1月18日,2021年 1月18日
33,32.0,,,"ASUSE210MA  E210MAの色を選択(全3件)¥34,027Amazon.co.jpE210MA E210MA-GJ001B [ピーコックブルー]¥34,027ひかりTVショッピングE210MA E210MA-GJ003W [ドリーミーホワイト]¥35,520Qoo10 EVENTE210MA E210MA-GJ002P [ローズゴールド]閉じる","¥34,027",32店舗,118位,4.16(13票),129件,インテル Celeron N4020(Gemini Lake Refresh)1.1GHz/2コア,1589,11.6型(インチ),TFTカラー液晶,FWXGA (1366x768),,,○,ノングレア(非光沢),Windows 10 Home(Sモード) 64bit,WPS Office Standard Edition,4GB,DDR4 PC4-19200,,eMMC：64GB,,無し,,Intel UHD Graphics 600,メインメモリと共有,1.08kg,279.1x16.9x191.2mm,,12.7時間,HDMIx1USB3.1 Gen1(USB3.0) Type-Ax1/Type-Cx1microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,,,,WebカメラBluetooth4.1日本語キーボード,,,,,,2020年 8月20日,2020年 8月24日
34,33.0,,"¥34,027Amazon.co.jp",,E210MA E210MA-GJ001B [ピーコックブルー],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,34.0,,"¥34,027ひかりTVショッピング",,E210MA E210MA-GJ003W [ドリーミーホワイト],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,35.0,,"¥35,520Qoo10 EVENT",,E210MA E210MA-GJ002P [ローズゴールド],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,36.0,,,LenovoIdeaPad Duet Chromebook ZA6F0038JP,"¥34,298",33店舗,44位,4.07(48票),0件,MediaTek Helio P60T2GHz/8コア,,10.1型(インチ),IPS液晶,WUXGA (1920x1200),○,セパレート,○,グレア(光沢),Chrome OS,Office無し,4GB,LPDDR4X,0(0),eMMC：128GB,,無し,,Mali-G72 MP3,メインメモリと共有,0.92kg,244.9x18.2x169.3mm,アイスブルー+アイアングレー,10時間,USB Type-C,IEEE802.11a/b/g/n/ac,,,,,,,,,,WebカメラBluetooth4.2日本語キーボード,,加速度センサージャイロセンサー光センサー,,,,2020年 6月5日,2020年 6月4日
38,37.0,,,テックウインドCLIDE W10D W10D-W10PBK,"¥34,650",3店舗,946位,4.00(1票),0件,インテル Celeron N4000(Gemini Lake)1.1GHz/2コア,1406,10.1型(インチ),IPS液晶,WUXGA (1920x1200),○,セパレート,○,,Windows 10 Pro 64bit,Office無し,4GB,LPDDR4L,,64GB,,無し,,,,1.12kg,,ブラック,6.5時間,miniHDMIx1USB3.1 Gen1(USB3.0)x1USB Type-Cx1microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,,,,WebカメラBluetooth4.2日本語キーボード,,加速度センサー,,,,2021年 1月28日,2021年 2月3日
